vxy_mean vxy_std vyx_mean vyx_std e1max_mean e1max_std
0.40550000 0.02990000 0.41230000 0.03510000 1.43230000 0.00340000
0.39900000 0.02900000 0.40820000 0.03650000 1.71870000 0.00330000
0.40670000 0.02640000 0.40380000 0.03380000 1.53440000 0.00390000
0.42160000 0.02640000 0.41190000 0.03350000 1.55570000 0.00430000
0.40900000 0.02380000 0.41470000 0.03060000 1.46550000 0.00550000
0.40790000 0.02600000 0.41570000 0.03440000 1.64410000 0.00450000
0.39920000 0.02420000 0.41550000 0.03620000 1.64460000 0.00380000
0.40440000 0.03140000 0.40180000 0.03420000 1.56000000 0.00460000
0.41010000 0.02580000 0.42260000 0.03420000 1.65020000 0.00490000
0.40690000 0.02620000 0.41140000 0.03000000 1.58010000 0.00420000
0.40670000 0.02370000 0.40420000 0.03420000 1.55770000 0.00400000
0.42550000 0.02530000 0.39870000 0.03350000 1.56590000 0.00450000
0.40350000 0.02840000 0.41910000 0.03100000 1.79690000 0.00410000
0.41110000 0.02580000 0.41600000 0.03160000 1.54840000 0.00450000
0.40990000 0.02780000 0.40480000 0.03810000 1.56860000 0.00390000
0.40640000 0.02620000 0.40500000 0.03640000 1.58970000 0.00450000
0.41950000 0.02590000 0.40950000 0.03870000 1.62820000 0.00490000
0.41580000 0.02810000 0.39880000 0.03360000 1.54760000 0.00440000
0.40680000 0.02520000 0.40580000 0.03280000 1.50040000 0.00370000
0.40340000 0.02700000 0.40470000 0.03250000 2.08510000 0.00440000
0.39620000 0.02610000 0.39120000 0.03290000 1.72020000 0.00440000
0.41720000 0.02450000 0.40680000 0.03520000 1.64960000 0.00420000
0.40560000 0.02290000 0.42170000 0.03560000 1.58710000 0.00430000
0.40300000 0.02330000 0.40200000 0.03380000 1.62060000 0.00410000
0.41250000 0.02930000 0.40660000 0.03320000 1.60020000 0.00470000
0.40170000 0.02720000 0.41130000 0.03210000 1.51310000 0.00410000
0.41390000 0.02630000 0.40910000 0.03320000 1.73330000 0.00380000
0.39680000 0.02600000 0.40020000 0.03780000 1.62550000 0.00350000
0.41020000 0.02620000 0.40870000 0.03340000 2.00680000 0.00390000
0.40370000 0.02560000 0.40400000 0.03480000 1.50310000 0.00440000
0.40920000 0.02340000 0.41630000 0.03570000 1.63650000 0.00360000
0.40910000 0.02500000 0.41510000 0.03660000 1.66890000 0.00460000
0.40980000 0.02410000 0.39390000 0.03730000 1.50440000 0.00340000
0.40440000 0.02570000 0.40870000 0.03230000 1.66020000 0.00480000
0.41970000 0.02880000 0.40680000 0.02940000 1.47840000 0.00370000
0.41690000 0.02350000 0.40600000 0.03600000 1.74090000 0.00460000
0.40130000 0.02530000 0.41430000 0.03770000 1.66900000 0.00470000
0.41010000 0.02690000 0.41420000 0.03560000 1.45220000 0.00370000
0.41230000 0.02680000 0.39780000 0.03540000 1.54790000 0.00380000
0.40950000 0.02550000 0.39900000 0.03570000 1.79300000 0.00360000
0.42060000 0.02390000 0.40720000 0.03660000 2.00680000 0.00410000
0.40950000 0.02350000 0.40320000 0.03500000 1.55690000 0.00420000
0.41680000 0.02580000 0.40820000 0.03580000 1.56660000 0.00350000
0.40510000 0.02580000 0.40900000 0.03280000 1.64820000 0.00480000
0.39460000 0.02860000 0.40740000 0.03580000 1.64050000 0.00470000
0.40510000 0.02400000 0.40230000 0.03860000 1.44860000 0.00290000
0.41480000 0.02670000 0.40370000 0.03330000 1.57090000 0.00360000
0.41600000 0.02550000 0.39840000 0.03700000 1.57430000 0.00490000
0.41410000 0.02640000 0.40960000 0.03700000 1.43790000 0.00360000
0.40140000 0.02540000 0.40870000 0.03600000 1.66150000 0.00480000
0.40650000 0.02510000 0.40650000 0.03500000 1.53750000 0.00330000
0.40760000 0.02600000 0.40740000 0.03660000 1.53490000 0.00400000
0.40030000 0.02830000 0.39550000 0.03390000 1.60010000 0.00440000
0.39980000 0.02540000 0.40900000 0.03650000 1.54280000 0.00370000
0.40900000 0.02590000 0.40360000 0.03690000 1.70370000 0.00480000
0.41630000 0.02490000 0.40910000 0.03420000 1.67440000 0.00490000
0.41330000 0.03070000 0.41580000 0.03700000 1.59580000 0.00440000
0.41530000 0.02570000 0.40570000 0.03360000 1.74030000 0.00400000
0.41500000 0.02480000 0.39340000 0.03510000 1.51870000 0.00360000
0.40840000 0.02690000 0.41810000 0.03410000 1.51570000 0.00450000
0.40430000 0.02720000 0.42440000 0.03460000 1.53480000 0.00410000
0.40190000 0.02580000 0.41280000 0.03560000 1.70070000 0.00580000
0.40370000 0.02630000 0.40820000 0.03090000 1.45660000 0.00370000
0.40910000 0.02340000 0.42300000 0.03430000 1.60980000 0.00440000
0.40650000 0.02340000 0.40400000 0.03330000 1.85650000 0.00380000
0.41210000 0.02600000 0.41710000 0.03740000 1.45760000 0.00350000
0.41260000 0.02700000 0.39890000 0.03510000 1.70970000 0.00420000
0.41370000 0.02620000 0.40540000 0.03710000 1.48190000 0.00330000
0.41090000 0.02680000 0.41860000 0.03300000 1.56060000 0.00480000
0.41510000 0.02680000 0.40430000 0.03550000 1.42200000 0.00400000
0.40870000 0.02860000 0.39500000 0.03520000 1.46570000 0.00380000
0.40950000 0.02500000 0.40480000 0.03550000 1.60690000 0.00450000
0.41290000 0.02570000 0.41050000 0.03230000 1.50920000 0.00400000
0.40650000 0.02480000 0.42290000 0.03740000 1.59790000 0.00450000
0.40370000 0.02650000 0.40920000 0.03380000 1.54580000 0.00380000
0.41440000 0.02760000 0.40080000 0.03510000 1.63640000 0.00500000
0.40760000 0.02830000 0.40340000 0.03290000 1.69130000 0.00390000
0.39510000 0.02460000 0.39720000 0.03500000 1.61080000 0.00410000
0.41360000 0.02350000 0.40360000 0.03600000 1.55660000 0.00410000
0.40770000 0.02420000 0.40920000 0.03300000 1.58240000 0.00420000
0.40410000 0.02690000 0.41820000 0.03430000 1.96910000 0.00460000
0.40040000 0.02470000 0.40990000 0.03430000 1.64190000 0.00450000
0.42670000 0.02610000 0.41640000 0.03380000 1.55840000 0.00380000
0.41210000 0.02810000 0.41450000 0.03480000 1.58720000 0.00420000
0.41090000 0.02620000 0.41620000 0.03660000 1.76350000 0.00540000
0.40580000 0.02510000 0.39580000 0.03520000 1.42780000 0.00500000
0.40030000 0.02280000 0.40590000 0.03260000 1.53790000 0.00410000
0.39870000 0.02530000 0.41030000 0.03430000 1.73190000 0.00560000
0.41900000 0.02500000 0.40000000 0.03660000 1.73430000 0.00610000
0.40630000 0.02780000 0.41380000 0.03170000 1.59710000 0.00340000
0.41270000 0.02590000 0.40110000 0.03190000 1.66190000 0.00640000
0.41270000 0.02860000 0.41290000 0.03390000 1.59850000 0.00360000
0.40670000 0.02700000 0.41160000 0.03250000 1.61270000 0.00460000
0.40170000 0.02910000 0.40590000 0.03390000 1.57210000 0.00370000
0.40280000 0.02460000 0.40080000 0.03370000 1.53850000 0.00560000
0.39480000 0.02770000 0.40710000 0.03500000 1.62370000 0.00560000
0.40200000 0.02190000 0.41520000 0.03590000 1.53320000 0.00360000
0.40890000 0.02840000 0.40910000 0.03720000 1.65780000 0.00510000
0.40990000 0.02520000 0.40780000 0.03460000 1.41710000 0.00430000
0.40380000 0.02520000 0.39420000 0.03890000 1.48220000 0.00350000
0.42700000 0.02600000 0.40650000 0.03020000 1.75710000 0.00680000
0.40830000 0.02310000 0.41200000 0.03630000 1.65070000 0.00460000
0.40800000 0.03010000 0.41260000 0.03360000 1.65530000 0.00440000
0.41130000 0.02260000 0.39360000 0.03270000 1.89420000 0.00440000
0.40570000 0.02580000 0.41430000 0.03090000 1.61090000 0.00320000
0.40570000 0.02310000 0.39800000 0.03630000 1.63890000 0.00410000
0.41620000 0.02650000 0.40800000 0.03500000 1.64390000 0.00410000
0.41770000 0.02640000 0.41840000 0.03800000 1.55570000 0.00430000
0.41440000 0.02860000 0.40400000 0.03110000 1.72280000 0.00510000
0.40640000 0.02800000 0.40890000 0.03600000 2.03560000 0.00460000
0.41950000 0.02500000 0.41370000 0.03410000 2.01410000 0.00470000
0.40680000 0.02470000 0.41060000 0.03310000 1.78540000 0.00430000
0.40890000 0.02360000 0.40470000 0.03520000 2.07870000 0.00410000
0.39610000 0.02650000 0.41670000 0.03290000 1.60550000 0.00400000
0.41260000 0.02470000 0.41040000 0.03560000 1.53910000 0.00480000
0.41880000 0.03130000 0.41140000 0.03460000 1.79870000 0.00470000
0.40500000 0.02580000 0.42570000 0.03990000 1.70700000 0.00370000
0.41360000 0.02470000 0.41320000 0.03740000 1.55200000 0.00350000
0.40560000 0.02510000 0.41440000 0.03310000 1.90830000 0.00530000
0.42080000 0.02590000 0.42180000 0.03440000 2.00790000 0.00410000
0.40140000 0.02540000 0.42060000 0.03490000 1.66340000 0.00530000
0.40690000 0.02450000 0.40660000 0.03510000 1.58270000 0.00350000
0.41820000 0.02730000 0.40930000 0.03480000 1.73510000 0.00440000
0.41380000 0.02900000 0.40820000 0.03370000 1.76930000 0.00480000
0.39680000 0.02630000 0.39950000 0.03640000 1.75980000 0.00440000
0.41680000 0.02580000 0.40740000 0.03460000 1.70320000 0.00550000
0.39970000 0.02610000 0.42150000 0.03490000 1.81710000 0.00440000
0.40270000 0.02260000 0.39610000 0.03460000 1.71300000 0.00520000
0.41080000 0.02280000 0.39840000 0.03470000 2.05380000 0.00490000
0.38850000 0.02580000 0.40370000 0.03170000 1.84590000 0.00530000
0.39070000 0.02520000 0.40630000 0.03380000 1.83580000 0.00550000
0.40250000 0.02480000 0.42070000 0.03900000 1.80410000 0.00400000
0.40190000 0.02700000 0.40910000 0.03620000 1.57570000 0.00390000
0.39980000 0.02540000 0.41460000 0.03440000 1.79870000 0.00380000
0.40400000 0.02460000 0.40660000 0.03120000 1.99750000 0.00420000
0.40600000 0.02380000 0.40480000 0.03830000 1.62060000 0.00360000
0.41130000 0.02460000 0.40560000 0.03300000 2.26050000 0.00590000
0.40590000 0.02570000 0.41310000 0.03460000 2.07580000 0.00460000
0.40730000 0.02540000 0.40290000 0.03680000 1.64780000 0.00460000
0.40140000 0.02320000 0.40860000 0.03670000 1.67290000 0.00410000
0.40480000 0.02350000 0.40080000 0.03370000 1.69100000 0.00530000
0.40380000 0.02750000 0.40550000 0.03350000 1.64840000 0.00440000
0.41060000 0.02460000 0.39770000 0.03640000 1.66420000 0.00470000
0.39930000 0.02420000 0.41140000 0.03440000 1.92710000 0.00350000
0.41260000 0.02430000 0.41710000 0.03430000 1.70020000 0.00500000
0.40160000 0.02680000 0.42510000 0.03240000 1.62020000 0.00350000
0.41410000 0.02780000 0.41770000 0.03460000 1.61330000 0.00390000
0.39700000 0.02680000 0.39710000 0.03670000 1.69900000 0.00430000
0.40630000 0.02670000 0.41130000 0.03080000 1.71270000 0.00630000
0.40800000 0.02300000 0.41410000 0.03280000 1.66420000 0.00350000
0.40490000 0.02440000 0.42090000 0.03460000 1.86940000 0.00450000
0.40010000 0.02450000 0.41180000 0.03710000 1.69190000 0.00390000
0.42340000 0.02640000 0.41240000 0.03190000 1.45940000 0.00440000
0.41280000 0.02510000 0.41150000 0.03380000 1.80130000 0.00380000
0.40660000 0.02660000 0.41300000 0.03310000 1.58550000 0.00380000
0.40300000 0.02510000 0.40710000 0.03440000 1.76620000 0.00410000
0.41760000 0.02650000 0.42540000 0.03170000 1.67570000 0.00430000
0.41890000 0.02470000 0.40480000 0.03310000 1.54820000 0.00410000
0.41700000 0.02870000 0.40340000 0.03270000 1.65500000 0.00420000
0.41400000 0.02360000 0.41150000 0.03440000 1.59630000 0.00440000
0.41250000 0.02630000 0.41740000 0.04190000 1.65470000 0.00500000
0.41830000 0.02440000 0.41030000 0.03220000 1.77100000 0.00410000
0.40490000 0.02350000 0.40410000 0.03480000 1.51710000 0.00370000
0.41900000 0.02490000 0.40690000 0.03500000 2.14790000 0.00390000
0.42030000 0.02450000 0.42550000 0.03370000 1.43460000 0.00480000
0.40820000 0.02690000 0.41020000 0.03460000 1.65090000 0.00450000
0.40730000 0.02540000 0.40610000 0.03680000 1.45160000 0.00710000
0.41300000 0.02800000 0.39940000 0.03190000 1.77240000 0.00440000
0.41590000 0.02610000 0.40910000 0.03690000 1.59940000 0.00320000
0.42310000 0.02300000 0.40620000 0.03430000 1.59090000 0.00420000
0.39500000 0.02380000 0.40990000 0.03230000 1.83090000 0.00420000
0.41120000 0.02850000 0.41020000 0.03340000 1.59580000 0.00400000
0.40440000 0.02580000 0.41330000 0.03720000 1.69490000 0.00390000
0.40920000 0.02250000 0.41010000 0.03700000 1.62830000 0.00350000
0.40350000 0.02140000 0.41670000 0.03790000 1.54140000 0.00320000
0.41770000 0.02480000 0.39510000 0.03450000 1.71610000 0.00320000
0.41730000 0.02310000 0.40820000 0.03620000 1.64320000 0.00360000
0.39920000 0.02500000 0.39850000 0.03180000 1.80420000 0.00410000
0.41190000 0.02430000 0.41240000 0.03660000 1.94290000 0.00330000
0.40570000 0.02520000 0.40950000 0.03850000 2.04370000 0.00500000
0.40020000 0.02420000 0.41200000 0.03770000 2.06070000 0.00420000
0.41890000 0.02470000 0.39850000 0.03600000 1.71560000 0.00430000
0.41350000 0.02650000 0.42100000 0.03390000 1.68900000 0.00420000
0.40310000 0.02870000 0.41030000 0.03410000 1.84490000 0.00550000
0.40620000 0.02700000 0.39510000 0.03560000 1.81620000 0.00410000
0.40650000 0.02220000 0.40530000 0.03880000 1.48610000 0.00460000
0.40500000 0.02350000 0.41640000 0.03060000 1.71280000 0.00560000
0.41900000 0.03310000 0.39760000 0.03600000 1.75140000 0.00450000
0.41210000 0.02520000 0.41630000 0.03860000 1.56270000 0.00370000
0.41830000 0.01970000 0.39940000 0.03310000 1.59150000 0.00430000
0.40480000 0.02740000 0.41100000 0.03550000 1.80550000 0.00410000
0.40230000 0.02690000 0.40650000 0.03310000 1.81240000 0.00370000
0.40110000 0.02490000 0.41480000 0.03190000 1.51960000 0.00520000
0.40940000 0.02690000 0.42770000 0.03680000 1.67990000 0.00500000
0.41580000 0.02660000 0.41220000 0.03410000 1.88400000 0.00520000
0.40500000 0.02520000 0.40670000 0.03860000 1.64960000 0.00390000
0.40010000 0.02490000 0.40460000 0.03670000 1.65090000 0.00490000
0.40980000 0.02560000 0.40880000 0.03470000 2.04520000 0.00440000
0.41260000 0.02730000 0.41010000 0.03280000 1.69020000 0.00420000
